Property Name,Property Type,Property Tag,Title,Complex Name,Address,Latitude,Longitude,Pincode,Super Area (sqft),Area per Square (Rs/Sqft),Price (lakh),Owner Type,Owner Name,Age of Construction,Floor,Facing,District,State
MD Developers,Commerical,Rent,"590 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Dwarka Sector 12,"2nd floor, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR
",28.59503,77.04813,110078,590,110,0.65,Agent,Vimal Dagar,5 to 10 years,"2 (Out of 4 Floors)
",North,South West Delhi,Delhi
Bhardwaj Associates,Commerical,Rent,"800 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Malviya Nagar,"Malviya nagar New Delhi, Malviya Nagar, New Delhi - South, Delhi NCR
",28.5342332,77.2094472999999,110017,800,69,0.55,Agent,Shyam Bhardwaj,5 to 10 years,"2 (Out of 4 Floors)
",East,South Delhi,Delhi
Club Road Properties,Commerical,Rent,"1000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Paschim Vihar,"paschim vihar, Paschim Vihar, New Delhi - West, Delhi NCR
",28.6691255,77.0928656,110087,1000,200,2,Agent,Dicky Chadha,New Construction,"2 (Out of 3 Floors)
",East,West Delhi,Delhi
Guru Ji Properties,Commerical,Rent,"800 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Lajpat Nagar 1,"Lajpat Nagar 1, Lajpat Nagar 1, New Delhi - South, Delhi NCR
",28.5743381,77.2398866,110024,800,62,0.5,Agent,Karan Nagpal,New Construction,"Lower Basement (Out of 3 Floors)
",South,South East Delhi,Delhi
Vajpayee Properties,Commerical,Rent,"600 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Mayur Vihar 1,"buliding no 270 mayur vihar ph 1, Mayur Vihar 1, New Delhi - East, Delhi NCR
",28.6086389,77.2901811999999,110091,600,27,0.16,Agent,Sarita,Less than 5 years,"1 (Out of 4 Floors)
",East,East Delhi,Delhi
Puri Construction Co.,Commerical,Rent,"250 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Mahavir Enclave,"Mahavir Enclave New Delhi, Mahavir Enclave, New Delhi - Dwarka, Delhi NCR
",28.5993858,77.0817493999999,110046,250,96,0.24,Agent,Nitin Puri,5 to 10 years,"1 (Out of 2 Floors)
",North - East,South West Delhi,Delhi
Pandey Associates,Commerical,Rent,"1000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Sarita Vihar Pocket E,"Lsc market., Sarita Vihar Pocket E, New Delhi - South, Delhi NCR
",28.5316108,77.3006008999999,110044,1000,45,0.45,Agent,Bajarangi Pandey,5 to 10 years,"2 (Out of 2 Floors)
",North,South Delhi,Delhi
Param Properties,Commerical,Rent,"1850 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Safdarjung Enclave,"safdarjung enclave, Safdarjung Enclave, New Delhi - South, Delhi NCR
",28.564726,77.1949164,110029,1850,22,0.4,Agent,Paramjeet,New Construction,"Lower Basement (Out of 4 Floors)
",North - East,New Delhi,Delhi
Kanchan Realtors,Commerical,Rent,"256 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Hauz Khas,"39, daryacha complex hauz khas village., Hauz Khas, New Delhi - South, Delhi NCR
",28.552973,77.194616,110016,256,55,0.14,Agent,Vikas Kalra,5 to 10 years,"1 (Out of 4 Floors)
",North - East,South Delhi,Delhi
Karya Property Management (Since 2000),Commerical,Rent,"1800 Sq-ft Commercial Office Space for Rent in Defence colony Villas , locality, New Delhi","Defence colony Villas,Defence Colony","def col, Defence Colony, New Delhi - South, Delhi NCR
",28.5733536,77.2326497,110024,1800,125,2.3,Agent,Raj Gupta,5 to 10 years,"2 (Out of 5 Floors)
",East,South Delhi,Delhi
Abide Realtors,Commerical,Rent,"2500 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Defence Colony,"na, Defence Colony, New Delhi - South, Delhi NCR
",28.5733536,77.2326497,110024,2500,32,0.8,Agent,Abide Realtors,Less than 5 years,"Upper Basement (Out of 4 Floors)
",North - East,South Delhi,Delhi
ESPACIO REALTY,Commerical,Rent,"1550 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Mayapuri Industrial Area Phase 1, Mayapuri","WH Block, Mayapuri Industrial Area Phase 1, New Delhi - West, Delhi NCR
",28.6342636,77.1291011999999,110064,1550,39,0.6,Agent,Asheesh Sardana,5 to 10 years,"1 (Out of 4 Floors)
",North - East,West Delhi,Delhi
Access India,Commerical,Rent,"5000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Defence Colony,"D-block, Defence Colony, New Delhi - South, Delhi NCR
",28.5739953,77.2369903,110024,5000,100,5,Agent,Chaman Mora,Less than 5 years,"1 (Out of 2 Floors)
",North,South East Delhi,Delhi
Jindal Real Estate,Commerical,Rent,"1000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Rohini Sector 10,"Sector 10 Rohini, New Delhi - Rohini, Delhi NCR
",28.7210643,77.1154368,110085,1000,140,1.4,Agent,Hariom Jindal,Less than 5 years,"5 (Out of 5 Floors)
",North - East,North West Delhi,Delhi
Delhi Dream,Commerical,Rent,"1600 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Green Park,"Green park market., Green Park, New Delhi - South, Delhi NCR
",28.5618637,77.2058443999999,110029,1600,38,0.6,Agent,Rajesh Kumar,New Construction,"Ground (Out of 4 Floors)
",North - East,South East Delhi,Delhi
Settling Properties,Commerical,Rent,"900 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Defence Colony,"Bhishma Pitamah Marg, Block A, Defence Colony, Defence Colony, New Delhi - South, Delhi NCR
",28.574648,77.2290007,110003,900,94,0.85,Agent,Pankaj Garg,Above 20 years,"1 (Out of 3 Floors)
",West,South Delhi,Delhi
Dwarkadhish Group,Commerical,Rent,"2100 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Dwarka Sector 13,"Sector-13., Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR
",28.598662,77.0348573,110075,2100,48,1,Agent,Vishal Garg,5 to 10 years,"3 (Out of 4 Floors)
",South -West,South West Delhi,Delhi
Fortune Builders,Commerical,Rent,"1800 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Dwarka,"Sector-8, Dwarka, New Delhi - Dwarka, Delhi NCR
",28.5720379,77.070837,110077,1800,47,0.85,Agent,Parveen,Less than 5 years,"Lower Basement (Out of 4 Floors)
",North - East,South West Delhi,Delhi
Jai Shree Ram Properties,Commerical,Rent,"10,000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","M G Road, Sultanpur","sultanpur metro station, M G Road, New Delhi - South, Delhi NCR
",28.4991843,77.1614111,110070,"10,000",30,3,Agent,Narender Kumar,Less than 5 years,"Ground (Out of 3 Floors)
",West,South Delhi,Delhi
Orient Property Solutions,Commerical,Rent,"1100 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Lajpat Nagar 3,"I block, Lajpat Nagar 3, New Delhi - South, Delhi NCR
",28.5674276,77.2397967999999,110024,1100,32,0.35,Agent,Mukesh Ahuja,5 to 10 years,"Upper Basement (Out of 3 Floors)
",East,South East Delhi,Delhi
K K Realtors,Commerical,Rent,"370 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Dwarka,"dwarka sector 23, Dwarka, New Delhi - Dwarka, Delhi NCR
",28.5633432,77.0550071999999,110077,370,59,0.22,Agent,Lovelish Chawla,5 to 10 years,"2 (Out of 3 Floors)
",East,South West Delhi,Delhi
Vikas Realtors,Commerical,Rent,"600 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Dwarka Sector 12,"plot no 5, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR
",28.5928174,77.0461639,110075,600,50,0.3,Agent,Vikas,5 to 10 years,"4 (Out of 4 Floors)
",North - East,South West Delhi,Delhi
,Commerical,Rent,"6010 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Mohan Cooperative Industrial Estate, Badarpur, Mathura Road","B1/A-16, Main Mathura Road, Mohan Cooperative Industrial Estate, New Delhi - South, Delhi NCR
",28.5306846,77.2866954999999,110076,6010,67,4,Owner,Ravi Prakash,15 to 20 years,"1 (Out of 4 Floors)
",South - East,South East Delhi,Delhi
,Commerical,Rent,"862 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Nehru Place,"12th Floor, Building number 98, Nehru Place, New Delhi - South, Delhi NCR
",28.547795,77.2522305999999,110019,862,104,0.9,Owner,ARKA BUSINESS SOLUTIONS,Above 20 years,"12 (Out of 15 Floors)
",East,South East Delhi,Delhi
,Commerical,Rent,"350 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Vikas Marg,"f-6, Vijay Block, laxmi nagar, Vikas Marg, New Delhi - Central, Delhi NCR
",28.6348773,77.2835745999999,110092,350,114,0.4,Owner,Gaurav Goel,Less than 5 years,"Ground (Out of 1 Floors)
",East,East Delhi,Delhi
,Commerical,Rent,Commercial Office Space1450 sqft,G Block,"G 58 East of Kailash, New Delhi, New Delhi, Delhi NCR
",28.5575079,77.2506374,110065,1450,42,0.61,Owner,Sharma,5 to 10 years,"Upper Basement (Out of 2 Floors)
",North - East,South East Delhi,Delhi
,Commerical,Rent,"1800 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Panchsheel Enclave,"D-28a, Panchsheel Enclave, New Delhi - South, Delhi NCR
",28.54482,77.2283008,110017,1800,61,1.1,Owner,Mr. Suri,10 to 15 years,,East,South Delhi,Delhi
,Commerical,Rent,"270 Sq-ft Commercial Office Space for Rent in Pearls Business Park , locality, New Delhi","Pearls Business Park,Netaji Subhash Place, Pitampura","New Delhi-North, Netaji Subhash Place, New Delhi - North, Delhi NCR
",28.6960458,77.1526303999999,110034,270,93,0.25,Owner,Sanjay Goyal,Less than 5 years,"2 (Out of 11 Floors)
",East,North West Delhi,Delhi
,Commerical,Rent,"200 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Vasant Vihar,"Vasant Lok, Vasant Vihar, New Delhi - South, Delhi NCR
",28.5575674,77.1664904999999,110057,200,325,0.65,Owner,Unnat,15 to 20 years,"1 (Out of 3 Floors)
",East,New Delhi,Delhi
,Commerical,Rent,"500 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",New Friends Colony,"Surya Plaza Building behind Hotel crown plaza surya, nfc, New Friends Colony, New Delhi - South, Delhi NCR
",28.5613912,77.2695992,110025,500,80,0.4,Owner,Zain Shamsi,Less than 5 years,"1 (Out of 4 Floors)
",,South Delhi,Delhi
,Commerical,Rent,"2500 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Dwarka,"D21 Corporate Park, Sector 21, Dwarka, Dwarka, New Delhi - Dwarka, Delhi NCR
",28.5618181,77.0670595999999,110077,2500,90,2.3,Owner,Ashish Tiwari,5 to 10 years,"4 (Out of 4 Floors)
",East,South West Delhi,Delhi
,Commerical,Rent,"8000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Greater Kailash Enclave 2,"C-2, GK Enclave-2, New Delhi-110048, Greater Kailash Enclave 2, New Delhi - South, Delhi NCR
",28.5397184,77.2369514,110048,8000,200,16,Owner,MPL,5 to 10 years,"Ground (Out of 2 Floors)
",North - East,South East Delhi,Delhi
,Commerical,Rent,"3450 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Dwarka,"Plot no 11, pocket B 3, sector 17 dwarka. GROUND FLOOR, Dwarka, New Delhi - Dwarka, Delhi NCR
",28.5944909,77.0275413999999,110075,3450,41,1.4,Owner,DR PUNEET TANEJA,New Construction,"1 (Out of 5 Floors)
",North - East,South West Delhi,Delhi
,Commerical,Rent,"4000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Nehru Place,"CC - 27 nehru enclave, main outer ring road, opposite nehru place., Nehru Place, New Delhi - South, Delhi NCR
",28.5458514,77.251167,110019,4000,90,3.6,Owner,Udit Agarwal,Less than 5 years,"Upper Basement (Out of 5 Floors)
",North,South East Delhi,Delhi
,Commerical,Rent,"30 Sq-m Commercial Office Space for Rent in , locality, New Delhi","Sarai Jullena, New Friends Colony","Sarai Jullena, New Delhi - South, Delhi NCR
",28.5600653,77.2717641999999,110025,30,667.3618,0.2,Owner,Devansh,10 to 15 years,"1 (Out of 1 Floors)
",,South East Delhi,Delhi
,Commerical,Rent,"1380 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Defence Colony,"A 286 defence colony., Defence Colony, New Delhi - South, Delhi NCR
",28.5726334,77.2325099999999,110049,1380,170,2.4,Owner,Vikrant,Less than 5 years,"2 (Out of 4 Floors)
",West,South East Delhi,Delhi
